Full Name,Mobile Number,University Name,Email ID
Chack Noris1 ,380981111111,KPI11,test1@test1.com
Chack Noris2 ,380981111112,KPI12,test2@test2.com
Chack Noris3,380981111113,KPI13,test1@test1.com
Chack Noris4,380981111114,KPI14,test2@test2.com
Chack Noris5,380981111115,KPI15,test1@test1.com
Chack Noris6,380981111116,KPI16,test2@test2.com
Chack Noris7,380981111117,KPI17,test1@test1.com
Chack Noris8,380981111118,KPI18,test2@test2.com
Chack Noris9,380981111119,KPI19,test1@test1.com
Chack Noris10,380981111120,KPI20,test2@test2.com
